Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed,Sesotho,English,Maths
S00001,12.5,75.27632340559882,75.0,Yes,Master,Yes,77.48357076505616,72.640712258493,78.32000538576905
S00002,9.3,95.3,60.6,No,High School,No,59.90867849414408,65.663512355078,59.11941975658954
S00003,13.2,75.27632340559882,64.0,No,Associate,No,67.23844269050346,63.00906576348841,63.66706795448489
S00004,17.6,76.8,62.4,Yes,Bachelor,No,70.01514928204013,62.852846323588196,61.523088144322166
S00005,8.8,89.3,72.7,No,Master,No,71.52923312638332,76.2869530331886,75.27026840298169
S00006,8.8,73.8,69.3,Yes,High School,Yes,68.1293152152541,69.0051829657553,70.73065233060133
S00007,17.9,38.6,93.6,No,Doctorate,Yes,100.0,84.5107607083507,100.0
S00008,13.8,95.8,59.2,Yes,Doctorate,No,63.03717364576455,64.40293752276774,57.27928250834068
S00009,7.7,100.1,91.9,No,Bachelor,Yes,89.55262807032524,98.17464414957526,100.0
S00010,12.7,38.4,37.8,Yes,High School,,40.51280021792982,28.64441954199778,28.74128087050807
S00011,7.7,54.1,72.3,No,Master,No,69.98291153593769,67.08354397169231,74.74761517624773
S00012,7.7,115.5,41.2,Yes,Master,No,38.87135123214872,51.31939808742756,33.27197139138854
S00013,11.2,79.6,49.6,Yes,Bachelor,,50.80981135783017,50.76017339251956,44.48054723973792
S00014,0.4,75.1,50.4,,,Yes,40.83359877671101,50.417756366351824,45.526702218676974
S00015,1.4,66.5,49.2,No,Associate,Yes,40.57541083743484,47.06808296475215,43.937638925204496
S00016,7.2,54.4,55.9,Yes,High School,No,53.08856235379513,50.74648674571683,52.85962613453712
S00017,4.9,71.1,98.0,Yes,High School,No,92.93584439832789,97.02791178846809,100.0
S00018,11.6,94.5,51.8,No,Bachelor,Yes,53.371236662976365,56.67211369582855,47.40972446251326
S00019,5.5,74.7,40.8,No,Doctorate,No,36.25987962239394,40.721610203095004,32.73102465163377
S00020,2.9,87.2,72.4,No,Associate,Yes,65.33848149332354,75.45142042946524,74.86851962341011
S00021,17.3,110.3,68.6,No,Bachelor,Yes,75.92824384460776,77.4285357425328,69.81143293352316
S00022,8.9,63.4,98.2,No,Doctorate,No,97.07111849756733,95.29760909776904,100.0
S00023,10.3,81.1,64.4,No,High School,No,64.73764102343962,65.91437450329221,64.19604066345883
S00024,2.9,95.1,30.7,No,Bachelor,Yes,23.576259068932714,35.721967804678386,19.26293484652993
S00025,7.3,56.3,58.6,Yes,High School,Yes,55.87808637737409,53.935481832667016,56.46289055790557
S00026,10.6,75.27632340559882,58.3,No,Doctorate,Yes,58.85461294854933,59.19026414032902,56.06349908584703
S00027,4.2,112.4,46.5,,High School,Yes,40.74503211288849,55.86162262313181,40.33568773324312
S00028,11.9,68.2,56.6,Yes,High School,No,58.47849009172836,54.898748097700924,53.786969885029656
S00029,7.0,96.4,62.8,Yes,Associate,No,59.796806550405975,68.14173269001894,62.05222112397192
S00030,8.5,72.2,64.1,No,Doctorate,Yes,62.64153125103361,63.394315613951136,63.79586602943415
S00031,7.0,111.0,44.3,No,Doctorate,Yes,41.29146693885301,53.29793508658494,37.39778768352208
S00032,19.3,42.1,74.1,Yes,Associate,Yes,83.36139092254469,65.87266055581446,77.1468083691358
S00033,9.9,76.3,89.5,No,Associate,No,89.43251387631032,89.82478095505142,97.67969296260299
S00034,4.7,45.4,69.2,No,Doctorate,Yes,63.9114453552205,61.805726524270554,70.60279574868915
S00035,14.1,61.0,81.6,No,High School,Yes,85.71272456051594,78.09561591859553,87.13183929375212
